Date,Open,High,Low,Close,Volume
17.09.1928,120.899,120.944,120.849,120.849,704
18.09.1928,120.849,120.969,120.812,120.933,623
19.09.1928,120.933,120.947,120.787,120.817,620
20.09.1928,120.817,120.896,120.815,120.867,588
21.09.1928,120.867,120.967,120.823,120.946,722
22.09.1928,120.946,120.949,120.879,120.879,480
23.09.1928,120.880,120.885,120.799,120.845,356
24.09.1928,120.846,120.849,120.725,120.836,266
25.09.1928,120.832,120.924,120.806,120.901,339
26.09.1928,120.901,121.011,120.896,121.004,518
27.09.1928,121.005,121.103,120.999,121.075,553
28.09.1928,121.073,121.081,121.022,121.081,528
29.09.1928,121.081,121.132,121.020,121.082,476
30.09.1928,121.087,121.135,121.073,121.115,327
1.10.1928,121.114,121.141,121.071,121.072,395
2.10.1928,121.072,121.072,120.960,120.979,334
3.10.1928,120.979,121.044,120.897,120.935,452
4.10.1928,120.938,121.029,120.918,120.918,585
5.10.1928,120.918,120.969,120.860,120.865,541
6.10.1928,120.865,120.921,120.792,120.813,482
7.10.1928,120.813,120.818,120.692,120.716,468
8.10.1928,120.716,120.723,120.630,120.657,398
9.10.1928,120.658,120.682,120.562,120.572,364
10.10.1928,120.572,120.603,120.494,120.542,613
11.10.1928,120.540,120.607,120.522,120.585,585
12.10.1928,120.585,120.729,120.580,120.669,663
13.10.1928,120.668,120.804,120.666,120.771,648
14.10.1928,120.771,120.820,120.730,120.815,517
15.10.1928,120.815,120.848,120.733,120.784,577
16.10.1928,120.786,120.840,120.745,120.832,671
17.10.1928,120.839,120.849,120.766,120.794,385
18.10.1928,120.794,120.838,120.762,120.792,236
19.10.1928,120.792,120.895,120.762,120.892,231
20.10.1928,120.892,120.929,120.758,120.759,245
21.10.1928,120.759,120.813,120.758,120.762,203
22.10.1928,120.759,120.812,120.749,120.806,185
23.10.1928,120.806,120.818,120.769,120.783,166
24.10.1928,120.781,120.829,120.595,120.597,270
25.10.1928,120.600,120.602,120.432,120.439,239
26.10.1928,120.446,120.577,120.426,120.561,234
27.10.1928,120.561,120.597,120.459,120.577,284
28.10.1928,120.577,120.672,120.494,120.499,219
29.10.1928,120.495,120.574,120.494,120.574,40
30.10.1928,120.574,120.599,120.457,120.510,36
31.10.1928,120.506,120.631,120.493,120.626,33
1.11.1928,120.493,120.539,120.425,120.483,82
2.11.1928,120.483,120.542,120.456,120.534,60
3.11.1928,120.534,120.660,120.489,120.558,60
4.11.1928,120.556,120.594,120.518,120.564,40
5.11.1928,120.559,120.571,120.521,120.521,51
6.11.1928,120.521,120.569,120.518,120.558,80
7.11.1928,120.511,120.597,120.511,120.597,118
8.11.1928,120.597,120.614,120.537,120.559,96
9.11.1928,120.559,120.583,120.510,120.548,75
10.11.1928,120.551,120.705,120.541,120.705,178
11.11.1928,120.704,120.754,120.668,120.710,920
12.11.1928,120.711,120.793,120.707,120.782,234
13.11.1928,120.782,120.802,120.779,120.802,180
14.11.1928,120.802,120.802,120.777,120.784,202
15.11.1928,120.784,120.798,120.778,120.798,374
16.11.1928,120.798,120.825,120.784,120.823,224
17.11.1928,120.823,120.862,120.798,120.861,433
18.11.1928,120.861,120.891,120.826,120.827,188
19.11.1928,120.827,120.827,120.663,120.711,431
20.11.1928,120.713,120.780,120.707,120.777,107
21.11.1928,120.768,120.782,120.726,120.748,145
